fast,slow,final_balance,profit_percent,max_drawdown_percent,operations,completed_trades,win_rate_percent,fees
10,40,1163.3884594530643,16.338845945306435,-6.973525076570413,29,15,46.666666666666664,32.8382109393963
5,40,1159.1418827035163,15.914188270351634,-7.123234113596601,45,23,30.434782608695656,49.831974456267844
30,200,1151.7108000828132,15.171080008281319,-9.014368376568491,7,4,75.0,8.393430157373485
10,200,1150.396544697702,15.039654469770197,-9.204385511066054,9,5,80.0,10.432761298875228
15,200,1136.2540978214085,13.625409782140855,-10.061762787284776,9,5,80.0,10.384106514877628
40,200,1135.8173839734159,13.581738397341587,-9.014368376568475,5,3,100.0,6.3315372793898455
5,200,1134.4296968007181,13.442969680071815,-10.966335934677591,11,6,33.33333333333333,12.235717516958374
25,200,1129.1121972979363,12.911219729793629,-9.014368376568491,7,4,75.0,8.429588834410643
40,150,1128.5255109167638,12.852551091676379,-13.306644187204745,7,4,75.0,8.290339378224964
30,40,1107.878251555304,10.78782515553039,-10.375483823723528,30,15,46.666666666666664,30.862140592362458
10,150,1107.2114377192033,10.721143771920334,-13.08516416312524,11,6,50.0,12.34163369876248
15,40,1089.9681034276757,8.99681034276757,-8.927628289337743,29,15,46.666666666666664,32.22380394806676
5,150,1084.8635355225795,8.486353552257947,-13.63765309697968,15,8,50.0,16.09696612275728
15,30,1068.064799300391,6.806479930039108,-16.405272496098018,37,19,36.84210526315789,39.35111317610034
10,30,1059.6512094577322,5.9651209457732195,-14.17350735727642,37,19,42.10526315789473,39.294393533512235
15,150,1054.1475664632667,5.414756646326668,-15.277236327924818,11,6,50.0,12.07424229454615
20,200,1051.6419307687634,5.164193076876336,-13.843912226222205,9,5,60.0,10.086248884968683
30,100,1043.5366249632539,4.353662496325387,-11.287003659675836,12,6,50.0,12.018168437302965
30,60,1043.475526312921,4.347552631292092,-15.015591957853625,14,7,57.14285714285714,14.119490156111752
20,40,1040.5037945413842,4.05037945413842,-12.524999592270488,27,14,50.0,28.35081866722108
5,50,1040.1548018321882,4.015480183218824,-13.852722172369786,37,19,31.57894736842105,39.056317495711696
15,100,1038.3069192336795,3.8306919233679535,-10.631519704781562,13,7,28.57142857142857,14.088531521714932
25,100,1034.8675876159477,3.4867587615947744,-11.490558079168999,12,6,33.33333333333333,12.127977145504264
30,150,1032.980788412633,3.298078841263305,-13.708961768509928,13,7,42.857142857142854,13.92325083783934
25,50,1032.1176130350268,3.2117613035026804,-15.305847337254939,20,10,60.0,20.68723925574592
20,50,1031.2044622792746,3.1204462279274594,-12.011396192972999,20,10,60.0,20.304213388260894
5,30,1029.8202742005953,2.982027420059535,-16.76138732365645,49,25,32.0,50.23628573041621
25,60,1029.7565361197878,2.9756536119787826,-14.728836102939125,14,7,57.14285714285714,14.051367621279255
10,50,1028.9754536782941,2.897545367829412,-12.522911525014749,25,13,38.46153846153847,26.345871480290047
15,60,1028.7983597105865,2.8798359710586507,-11.931466566773597,19,10,60.0,20.483716723218194
20,30,1014.8967185045279,1.489671850452794,-19.056153732343304,41,21,47.61904761904761,41.90014395522742
10,60,1014.4214519825896,1.4421451982589588,-12.44705154816718,25,13,46.15384615384615,26.150398786382418
40,50,1012.705103375269,1.2705103375269005,-14.544161227967606,24,12,41.66666666666667,24.609963928319125
15,80,1012.3017707319472,1.2301770731947157,-10.044181645817684,19,10,30.0,19.30162187717988
30,50,1009.638210362408,0.9638210362408018,-16.01759062327807,22,11,54.54545454545454,22.50703433534091
20,150,1006.7939493440091,0.6793949344009093,-15.4253332672245,13,7,42.857142857142854,13.844302079484175
25,40,1006.7312781133842,0.6731278113384178,-16.77418939951547,31,16,31.25,31.459361689451047
20,100,1005.7845737029475,0.5784573702947455,-12.593956247155827,12,6,33.33333333333333,11.784085579396429
20,60,1005.731728865227,0.5731728865226955,-12.694584755691087,18,9,44.44444444444444,17.99983565528551
25,150,1000.3211090249719,0.03211090249718609,-15.240656633857194,13,7,42.857142857142854,13.737318064988564
40,80,1000.1007166834057,0.01007166834057216,-15.313524466631845,14,7,28.57142857142857,13.722930609260908
15,50,993.1477755223463,-0.6852224477653749,-9.90115140802878,25,13,30.76923076923077,25.951623931143835
30,80,991.6789019845193,-0.8321098015480742,-14.605703382186677,14,7,28.57142857142857,13.585335673077234
40,100,991.6022924735863,-0.8397707526413682,-13.699190884862949,12,6,50.0,11.522046484226522
5,60,989.3102678353853,-1.0689732164614725,-15.421863215976872,31,16,31.25,31.643844211908878
10,100,987.0283323456626,-1.2971667654337353,-11.376883706599514,19,10,40.0,19.10621389532686
25,80,983.1147456841442,-1.6885254315855833,-14.20373617650389,14,7,28.57142857142857,13.602360824854532
20,80,979.7498872562464,-2.0250112743753563,-14.637879118830066,16,8,25.0,15.437102059314837
10,80,978.3603395746405,-2.1639660425359466,-11.554847515973595,25,13,23.076923076923077,25.23168995898652
40,60,970.1638948493937,-2.983610515060627,-12.170095646275836,16,8,25.0,15.795597783314502
5,80,963.9333649687478,-3.606663503125219,-13.260219245285326,29,15,33.33333333333333,28.413634609305188
25,30,943.7178923197168,-5.628210768028316,-23.370184697305397,51,26,42.30769230769231,50.16063521131121
5,100,932.8899993347505,-6.711000066524946,-15.887654606640039,27,14,21.428571428571427,25.45875289679796
