period,variant,start,end,candles,initial_balance,final_balance,total_return_percent,annualized_return_percent,maximum_drawdown_percent,profit_factor,win_rate_percent,trades,average_trade,exposure_percent,total_fees,blocked_by_atr,blocked_by_adx,insufficient_history,invalid_indicator_value
full,baseline,2022-07-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,35391,1000.0,1245.1506768585189,24.515067685851886,5.580984038542103,65.4607340159458,1.0269628968046178,28.823529411764703,340,0.7210314025250555,50.82791749081661,1203.236378840838,0,0,0,0
full,atr,2022-07-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,35391,1000.0,1381.5691246815124,38.15691246815124,8.33509668024206,55.6737902422921,1.0504935062804315,30.847457627118647,295,1.2934546599373304,45.07487990957898,972.6712364767095,45,0,0,0
full,adx,2022-07-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,35391,1000.0,1508.1663516759663,50.81663516759664,10.713467148174338,43.366093957359006,1.1176230899055688,30.601092896174865,183,2.776865309704734,27.544504097202598,551.4520995410858,0,157,0,0
full,atr_adx,2022-07-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,35391,1000.0,2113.5675915279207,111.35675915279208,20.36601962459097,38.57187810608937,1.2385602845818782,33.13253012048193,166,6.708238503180246,26.45380050861825,607.0854577383816,45,157,0,0
train,baseline,2022-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,21960,1000.0,2694.3359802675054,169.43359802675053,48.5361515380651,27.040715356223078,1.3642607637790745,30.198019801980198,202,8.387801882512402,52.05610455849538,734.2156953354144,0,0,0,0
train,atr,2022-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,21960,1000.0,2316.1657986663304,131.61657986663303,39.83391182788676,25.35040438998441,1.3630881546957876,32.33532934131736,167,7.881232327343295,44.11403069356528,539.596443216329,35,0,0,0
train,adx,2022-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,21960,1000.0,1823.5638058895502,82.35638058895502,27.103385999149452,24.15303942370226,1.400435956574393,33.33333333333333,111,7.419493746752704,28.794571701807914,316.48446112993344,0,91,0,0
train,atr_adx,2022-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,21960,1000.0,2130.976504428676,113.09765044286759,35.25876490589353,21.000818784537785,1.564743471148456,36.734693877551024,98,11.540576575802817,27.401065622296095,307.0280213132917,35,91,0,0
oos,baseline,2025-01-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,13431,1000.0,462.13638016105773,-53.786361983894224,-39.57815122605697,62.37125260641898,0.6736592530646256,26.811594202898554,138,-3.8975624626010306,48.8235294117647,174.07653942952496,0,0,0,0
oos,atr,2025-01-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,13431,1000.0,596.4897355262872,-40.35102644737128,-28.626815270804794,51.708882561148904,0.7623025578428136,28.90625,128,-3.1524239412008814,46.64929262844378,186.97918495720336,10,0,0,0
oos,adx,2025-01-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,13431,1000.0,827.0433679397744,-17.295663206022564,-11.657365118012697,40.8088577107426,0.8606671668162688,26.38888888888889,72,-2.4021754452809114,25.502606105733435,128.8507907714989,0,66,0,0
oos,atr_adx,2025-01-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,13431,1000.0,991.8305467636193,-0.8169453236380719,-0.5339830257000466,38.57187810608933,0.9934681362662432,27.941176470588236,68,-0.12013901818206939,24.90692479523455,140.80748229813838,10,66,0,0
