period,variant,start,end,candles,initial_balance,final_balance,total_return_percent,annualized_return_percent,maximum_drawdown_percent,profit_factor,win_rate_percent,trades,average_trade,exposure_percent,total_fees,blocked_entries,blocked_by_atr,blocked_by_adx,waiting_entries,pullback_confirmed,timed_out_entries,cancelled_entries,pullback_rate_percent,average_wait_bars,average_entry_price_improvement_percent
full,baseline,2022-07-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,35391,1000.0,1245.1506768585189,24.515067685851886,5.580984038542103,65.4607340159458,1.0269628968046178,28.823529411764703,340,0.7210314025250555,50.82791749081661,1203.236378840838,0,0,0,0,0,0,0,0.0,0.0,0.0
full,atr,2022-07-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,35391,1000.0,1381.5691246815124,38.15691246815124,8.33509668024206,55.6737902422921,1.0504935062804315,30.847457627118647,295,1.2934546599373304,45.07487990957898,972.6712364767095,45,45,0,0,0,0,0,0.0,0.0,0.0
full,adx,2022-07-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,35391,1000.0,1508.1663516759663,50.81663516759664,10.713467148174338,43.366093957359006,1.1176230899055688,30.601092896174865,183,2.776865309704734,27.544504097202598,551.4520995410858,157,0,157,0,0,0,0,0.0,0.0,0.0
full,atr_adx,2022-07-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,35391,1000.0,2113.5675915279207,111.35675915279208,20.36601962459097,38.57187810608937,1.2385602845818782,33.13253012048193,166,6.708238503180246,26.45380050861825,607.0854577383816,174,45,157,0,0,0,0,0.0,0.0,0.0
full,pullback,2022-07-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,35391,1000.0,1390.2086171779902,39.020861717799015,8.502505267140027,30.773835065382915,1.228824053393303,24.074074074074073,108,3.613042751648057,12.11641706696807,288.5897287141964,0,0,0,340,108,203,29,31.76470588235294,2.888888888888889,0.3037087012074118
full,atr_pullback,2022-07-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,35391,1000.0,1454.8133531691503,45.481335316915036,9.730172267756032,29.678525629475907,1.2849119589411186,24.719101123595504,89,5.110262395158992,10.347555806725063,247.32180189659627,19,19,0,340,108,203,29,31.76470588235294,2.888888888888889,0.3367898702705301
full,adx_pullback,2022-07-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,35391,1000.0,1059.457594072944,5.9457594072943944,1.4408785282750136,18.610332875040783,1.1044841520409712,21.428571428571427,42,1.4156570017367607,4.659508335688047,84.89651726286519,66,0,66,340,108,203,29,31.76470588235294,2.888888888888889,0.29336640112126694
full,atr_adx_pullback,2022-07-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,35391,1000.0,1104.3561146488687,10.43561146488687,2.4891259259622656,18.610332875040772,1.1897971791931474,25.0,36,2.898780962468575,4.359988697372139,76.33284721247914,72,19,66,340,108,203,29,31.76470588235294,2.888888888888889,0.3168620297425654
train,baseline,2022-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,21960,1000.0,2694.3359802675054,169.43359802675053,48.5361515380651,27.040715356223078,1.3642607637790745,30.198019801980198,202,8.387801882512402,52.05610455849538,734.2156953354144,0,0,0,0,0,0,0,0.0,0.0,0.0
train,atr,2022-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,21960,1000.0,2316.1657986663304,131.61657986663303,39.83391182788676,25.35040438998441,1.3630881546957876,32.33532934131736,167,7.881232327343295,44.11403069356528,539.596443216329,35,35,0,0,0,0,0,0.0,0.0,0.0
train,adx,2022-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,21960,1000.0,1823.5638058895502,82.35638058895502,27.103385999149452,24.15303942370226,1.400435956574393,33.33333333333333,111,7.419493746752704,28.794571701807914,316.48446112993344,91,0,91,0,0,0,0,0.0,0.0,0.0
train,atr_adx,2022-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,21960,1000.0,2130.976504428676,113.09765044286759,35.25876490589353,21.000818784537785,1.564743471148456,36.734693877551024,98,11.540576575802817,27.401065622296095,307.0280213132917,104,35,91,0,0,0,0,0.0,0.0,0.0
train,pullback,2022-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,21960,1000.0,1398.1799769247418,39.81799769247418,14.316092260079326,13.807150505289073,1.6408043476543912,29.03225806451613,62,6.422257692334545,12.286533995172821,152.62093472914674,0,0,0,202,62,122,18,30.693069306930692,2.8548387096774195,0.2487940120291654
train,atr_pullback,2022-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,21960,1000.0,1393.0630260903724,39.30630260903724,14.148900965812139,13.807150505289092,1.7197463789220497,31.914893617021278,47,8.363043108305796,10.009563277016257,118.06397115210052,15,15,0,202,62,122,18,30.693069306930692,2.8548387096774195,0.2930519020890498
train,adx_pullback,2022-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,21960,1000.0,1019.6294728373206,1.9629472837320576,0.7790166605334159,16.642598954007248,1.0789859389230039,20.0,25,0.7851789134928231,4.1759642970991395,47.992030426543586,37,0,37,202,62,122,18,30.693069306930692,2.8548387096774195,0.22833806119413086
train,atr_adx_pullback,2022-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,21960,1000.0,1062.8401262151597,6.284012621515968,2.462688265533397,13.510760206765262,1.2913235339683808,26.31578947368421,19,3.307375063955772,3.6932465048499474,37.86439323784618,43,15,37,202,62,122,18,30.693069306930692,2.8548387096774195,0.25232082913117965
oos,baseline,2025-01-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,13431,1000.0,462.13638016105773,-53.786361983894224,-39.57815122605697,62.37125260641898,0.6736592530646256,26.811594202898554,138,-3.8975624626010306,48.8235294117647,174.07653942952496,0,0,0,0,0,0,0,0.0,0.0,0.0
oos,atr,2025-01-01T00:00:00+00:00,2026-07-14T14:00:00+00:00,13431,1000.0,596.4897355262872,-40.35102644737128,-28.626815270804794,51.708882561148904,0.7623025578428136,28.90625,128,-3.1524239412008814,46.64929262844378,186.97918495720336,10,10,0,0,0,0,0,0.0,0.0,0.0
